time,con_oveTSetHea_u,con_oveTSetCoo_u,zon_reaTRooAir_y
28860030,288.15,303.15,294.52277694164127
28860060,288.15,303.15,294.51622035273874
28860090,288.15,303.15,294.5096646681632
28860120,288.15,303.15,294.50310990863795
28860150,288.15,303.15,294.49655609446137
28860180,288.15,303.15,294.4900032455032
28860210,288.15,303.15,294.4834513776205
28860240,288.15,303.15,294.47690051323434
28860270,288.15,303.15,294.47035067241336
28860300,288.15,303.15,294.4638018731073
28860330,288.15,303.15,294.457254132528
28860360,288.15,303.15,294.45070746690755
28860390,288.15,303.15,294.4441618941341
28860420,288.15,303.15,294.43761743042256
28860450,288.15,303.15,294.4310740915319
28860480,288.15,303.15,294.4245318927824
28860510,288.15,303.15,294.41799084908473
28860540,288.15,303.15,294.41145097474674
28860570,288.15,303.15,294.4049122836166
28860600,288.15,303.15,294.3983747890616
28860630,288.15,303.15,294.39183850385905
28860660,288.15,303.15,294.38530344008717
28860690,288.15,303.15,294.37876960894675
28860720,288.15,303.15,294.37223702056025
28860750,288.15,303.15,294.36570568392824
28860780,288.15,303.15,294.35917560625336
28860810,288.15,303.15,294.35264679325115
28860840,288.15,303.15,294.34611924935353
28860870,288.15,303.15,294.3395929771033
28860900,288.15,303.15,294.33306797687334
28860930,288.15,303.15,294.32654424670767
28860960,288.15,303.15,294.32002178224377
28860990,288.15,303.15,294.3135005766856
28861020,288.15,303.15,294.30698062081234
28861050,288.15,303.15,294.3004619030166
28861080,288.15,303.15,294.2939444119869
28861110,288.15,303.15,294.2874281400659
28861140,288.15,303.15,294.28091307696513
28861170,288.15,303.15,294.27439920165614
28861200,288.15,303.15,294.26788648207696
28861230,288.15,303.15,294.2613749051449
28861260,288.15,303.15,294.25486449750724
28861290,288.15,303.15,294.2483553107075
28861320,288.15,303.15,294.24184740765725
28861350,288.15,303.15,294.23534085601733
28861380,288.15,303.15,294.2288357258681
28861410,288.15,303.15,294.2223320889468
28861440,288.15,303.15,294.215830018308
28861470,288.15,303.15,294.20932958795527
28861500,288.15,303.15,294.20283087242825
28861530,288.15,303.15,294.19633394639004
28861560,288.15,303.15,294.1898388842471
28861590,288.15,303.15,294.1833457598112
28861620,288.15,303.15,294.17685464600186
28861650,288.15,303.15,294.1703656145875
28861680,288.15,303.15,294.16387873596
28861710,288.15,303.15,294.157394078942
28861740,288.15,303.15,294.15091171062454
28861770,288.15,303.15,294.14443169623394
28861800,288.15,303.15,294.13795409902775
28861830,288.15,303.15,294.1314789802183
28861860,288.15,303.15,294.1250063989257
28861890,288.15,303.15,294.11853641215885
28861920,288.15,303.15,294.11206907482637
28861950,288.15,303.15,294.1056044397789
28861980,288.15,303.15,294.0991425578853
28862010,288.15,303.15,294.0926834781472
28862040,288.15,303.15,294.08622724785846
28862070,288.15,303.15,294.0797739128133
28862100,288.15,303.15,294.073323517581
28862130,288.15,303.15,294.0668761058884
28862160,288.15,303.15,294.06043172116364
28862190,288.15,303.15,294.0539904073248
28862220,288.15,303.15,294.0475522099882
28862250,288.15,303.15,294.0411171785173
28862280,288.15,303.15,294.0346853701421
28862310,288.15,303.15,294.0282568619058
28862340,288.15,303.15,294.0218316801122
28862370,288.15,303.15,294.0154096270723
28862400,288.15,303.15,294.0089904784505
28862430,288.15,303.15,294.0025740642415
28862460,288.15,303.15,293.996160268688
28862490,288.15,303.15,293.9897490095475
28862520,288.15,303.15,293.98334022198287
28862550,288.15,303.15,293.9769338504496
28862580,288.15,303.15,293.97052984545695
28862610,288.15,303.15,293.9641281622967
28862640,288.15,303.15,293.95772876032066
28862670,288.15,303.15,293.9513316023331
28862700,288.15,303.15,293.94493665403957
28862730,288.15,303.15,293.93854388357687
28862760,288.15,303.15,293.9321532611277
28862790,288.15,303.15,293.9257647586119
28862820,288.15,303.15,293.91937834943485
28862850,288.15,303.15,293.9129940082812
28862880,288.15,303.15,293.90661171094
28862910,288.15,303.15,293.90023143415675
28862940,288.15,303.15,293.8938531555053
28862970,288.15,303.15,293.88747685327667
28863000,288.15,303.15,293.88110250638164
28863030,288.15,303.15,293.87473009426475
28863060,288.15,303.15,293.8683595968283
28863090,288.15,303.15,293.86199099436413
28863120,288.15,303.15,293.85562426749306
28863150,288.15,303.15,293.8492593971106
28863180,288.15,303.15,293.8428963643298
28863210,288.15,303.15,293.83653515045825
28863240,288.15,303.15,293.83017573694707
28863270,288.15,303.15,293.8238181053539
28863300,288.15,303.15,293.81746223731284
28863330,288.15,303.15,293.8111081145084
28863360,288.15,303.15,293.80475571865213
28863390,288.15,303.15,293.7984050314626
28863420,288.15,303.15,293.7920560346479
28863450,288.15,303.15,293.7857087098909
28863480,288.15,303.15,293.7793630388377
28863510,288.15,303.15,293.7730190030877
28863540,288.15,303.15,293.76667658418694
28863570,288.15,303.15,293.76033576362244
28863600,288.15,303.15,293.7539965228193
28863630,288.15,303.15,293.7476588431388
28863660,288.15,303.15,293.74132270587876
28863690,288.15,303.15,293.7349880922741
28863720,288.15,303.15,293.7286549834995
28863750,288.15,303.15,293.72232336067253
28863780,288.15,303.15,293.7159932048571
28863810,288.15,303.15,293.70966449706816
28863840,288.15,303.15,293.7033372182759
28863870,288.15,303.15,293.69701134941084
28863900,288.15,303.15,293.6906868713682
28863930,288.15,303.15,293.68436376501273
28863960,288.15,303.15,293.67804201118247
28863990,288.15,303.15,293.6717215906928
28864020,288.15,303.15,293.6654024843393
28864050,288.15,303.15,293.6590846729002
28864080,288.15,303.15,293.65276813713785
28864110,288.15,303.15,293.64645285779983
28864140,288.15,303.15,293.6401388156182
28864170,288.15,303.15,293.63382599130864
28864200,288.15,303.15,293.62751436556823
28864230,288.15,303.15,293.621203919072
28864260,288.15,303.15,293.61489463246886
28864290,288.15,303.15,293.6085864863758
28864320,288.15,303.15,293.6022794613719
28864350,288.15,303.15,293.59597353799023
28864380,288.15,303.15,293.58966869670985
28864410,288.15,303.15,293.5833649179457
28864440,288.15,303.15,293.57706218203816
28864470,288.15,303.15,293.5707604692416
28864500,288.15,303.15,293.5644597597112
28864530,288.15,303.15,293.5581600334899
28864560,288.15,303.15,293.5518612704935
28864590,288.15,303.15,293.545563450495
28864620,288.15,303.15,293.53926655310823
28864650,288.15,303.15,293.53297055777017
28864680,288.15,303.15,293.52667544372235
28864710,288.15,303.15,293.5203811899913
28864740,288.15,303.15,293.51408777536795
28864770,288.15,303.15,293.5077951783856
28864800,288.15,303.15,293.5015033772975
28864830,288.15,303.15,293.49521238116864
28864860,288.15,303.15,293.48892227054534
28864890,288.15,303.15,293.48263320655747
28864920,288.15,303.15,293.47634542557734
28864950,288.15,303.15,293.47005922708786
28864980,288.15,303.15,293.46377495980045
28865010,288.15,303.15,293.45749300913536
28865040,288.15,303.15,293.45121378637543
28865070,288.15,303.15,293.44493771962595
28865100,288.15,303.15,293.4386652460544
28865130,288.15,303.15,293.4323968050561
28865160,288.15,303.15,293.4261328321795
28865190,288.15,303.15,293.4198737537536
28865220,288.15,303.15,293.41361998218565
28865250,288.15,303.15,293.4073719119012
28865280,288.15,303.15,293.40112991588853
28865310,288.15,303.15,293.3948943428095
28865340,288.15,303.15,293.3886655146355
28865370,288.15,303.15,293.38244372477277
28865400,288.15,303.15,293.37622923664
28865430,288.15,303.15,293.37002228266516
28865460,288.15,303.15,293.36382306366886
28865490,288.15,303.15,293.3576317486041
28865520,288.15,303.15,293.35144847462175
28865550,288.15,303.15,293.3452733474349
28865580,288.15,303.15,293.3391064419534
28865610,288.15,303.15,293.3329478031635
28865640,288.15,303.15,293.32679744722714
28865670,288.15,303.15,293.32065536277736
28865700,288.15,303.15,293.3145215123857
28865730,288.15,303.15,293.3083958341813
28865760,288.15,303.15,293.3022782435988
28865790,288.15,303.15,293.2961686352361
28865820,288.15,303.15,293.2900668848019
28865850,288.15,303.15,293.2839728511354
28865880,288.15,303.15,293.27788637827945
28865910,288.15,303.15,293.27180729759203
28865940,288.15,303.15,293.26573542987836
28865970,288.15,303.15,293.25967058753037
28866000,288.15,303.15,293.2536125766583
28866030,288.15,303.15,293.24756119920124
28866060,288.15,303.15,293.24151625500417
28866090,288.15,303.15,293.23547754385
28866120,288.15,303.15,293.22944486743467
28866150,288.15,303.15,293.2234180312767
28866180,288.15,303.15,293.2173968465499
28866210,288.15,303.15,293.21138113183196
28866240,288.15,303.15,293.2053707147604
28866270,288.15,303.15,293.1993654335888
28866300,288.15,303.15,293.1933651386363
28866330,288.15,303.15,293.1873696936257
28866360,288.15,303.15,293.1813789769042
28866390,288.15,303.15,293.17539288254187
28866420,288.15,303.15,293.16941132130574
28866450,288.15,303.15,293.16343422150476
28866480,288.15,303.15,293.1574615297038
28866510,288.15,303.15,293.1514932113053
28866540,288.15,303.15,293.145529250996
28866570,288.15,303.15,293.13956965305937
28866600,288.15,303.15,293.13361444155316
28866630,288.15,303.15,293.1276636603522
28866660,288.15,303.15,293.1217173730576
28866690,288.15,303.15,293.11577566277407
28866720,288.15,303.15,293.10983863175727
28866750,288.15,303.15,293.10390640093317
28866780,288.15,303.15,293.09797910927995
28866810,288.15,303.15,293.09205691313514
28866840,288.15,303.15,293.08613998533195
28866870,288.15,303.15,293.0802285142388
28866900,288.15,303.15,293.0743227026953
28866930,288.15,303.15,293.0684227668455
28866960,288.15,303.15,293.06252893487175
28866990,288.15,303.15,293.05664144563656
28867020,288.15,303.15,293.0507605472375
28867050,288.15,303.15,293.04488649548256
28867080,288.15,303.15,293.03901955229304
28867110,288.15,303.15,293.03315998403986
28867140,288.15,303.15,293.02730805982173
28867170,288.15,303.15,293.02146404969176
28867200,288.15,303.15,293.0156282228409
28867230,288.15,303.15,293.00980084574576
28867260,288.15,303.15,293.00398218028886
28867290,288.15,303.15,292.9981724818599
28867320,288.15,303.15,292.99237199744624
28867350,288.15,303.15,292.9865809637206
28867380,288.15,303.15,292.9807996051358
28867410,288.15,303.15,292.97502813203363
28867440,288.15,303.15,292.9692667387779
28867470,288.15,303.15,292.9635156019194
28867500,288.15,303.15,292.9577748784021
28867530,288.15,303.15,292.9520447038188
28867560,288.15,303.15,292.9463251907246
28867590,288.15,303.15,292.94061642701814
28867620,288.15,303.15,292.9349184743965
28867650,288.15,303.15,292.92923136689444
28867680,288.15,303.15,292.92355510951455
28867710,288.15,303.15,292.91788967695663
28867740,288.15,303.15,292.91223501245395
28867770,288.15,303.15,292.9065910267237
28867800,288.15,303.15,292.90095759703905
28867830,288.15,303.15,292.8953345664291
28867860,288.15,303.15,292.8897217430134
28867890,288.15,303.15,292.88411889947787
28867920,288.15,303.15,292.8785257726965
28867950,288.15,303.15,292.8729420635053
28867980,288.15,303.15,292.8673674366334
28868010,288.15,303.15,292.8618015207944
28868040,288.15,303.15,292.85624390894446
28868070,288.15,303.15,292.8506941587074
28868100,288.15,303.15,292.8451517929732
28868130,288.15,303.15,292.839616300669
28868160,288.15,303.15,292.83408713770723
28868190,288.15,303.15,292.8285637281102
28868220,288.15,303.15,292.8230454653129
28868250,288.15,303.15,292.8175317136426
28868280,288.15,303.15,292.81202180997684
28868310,288.15,303.15,292.8065150655757
28868340,288.15,303.15,292.8010107680883
28868370,288.15,303.15,292.79550818372985
28868400,288.15,303.15,292.7900065596251
28868430,288.15,303.15,292.7845051412362
28868460,288.15,303.15,292.7790032185435
28868490,288.15,303.15,292.77350017403415
28868520,288.15,303.15,292.7679955033263
28868550,288.15,303.15,292.76248881174314
28868580,288.15,303.15,292.7569798004189
28868610,288.15,303.15,292.7514682512733
28868640,288.15,303.15,292.74595401462295
28868670,288.15,303.15,292.7404369993063
28868700,288.15,303.15,292.73491716451684
28868730,288.15,303.15,292.7293945126987
28868760,288.15,303.15,292.7238690831921
28868790,288.15,303.15,292.7183409465186
28868820,288.15,303.15,292.7128101992664
28868850,288.15,303.15,292.70727695954105
28868880,288.15,303.15,292.70174136293963
28868910,288.15,303.15,292.6962035590007
28868940,288.15,303.15,292.6906637080833
28868970,288.15,303.15,292.68512197863146
28869000,288.15,303.15,292.6795785447855
28869030,288.15,303.15,292.67403358430545
28869060,288.15,303.15,292.66848727677296
28869090,288.15,303.15,292.6629398020452
28869120,288.15,303.15,292.6573913389315
28869150,288.15,303.15,292.6518420640712
28869180,288.15,303.15,292.64629215098915
28869210,288.15,303.15,292.6407417693098
28869240,288.15,303.15,292.63519108411174
28869270,288.15,303.15,292.6296402554067
28869300,288.15,303.15,292.6240894377276
28869330,288.15,303.15,292.61853877981304
28869360,288.15,303.15,292.612988424376
28869390,288.15,303.15,292.607438507946
28869420,288.15,303.15,292.60188916077476
28869450,288.15,303.15,292.5963405067971
28869480,288.15,303.15,292.59079266363875
28869510,288.15,303.15,292.58524574266426
28869540,288.15,303.15,292.57969984905907
28869570,288.15,303.15,292.57415508193947
28869600,288.15,303.15,292.56861153448597
28869630,288.15,303.15,292.5630692940954
28869660,288.15,303.15,292.55752844254766
28869690,288.15,303.15,292.5519890561843
28869720,288.15,303.15,292.54645120609445
28869750,288.15,303.15,292.54091495830676
28869780,288.15,303.15,292.53538037398397
28869810,288.15,303.15,292.529847509618
28869840,288.15,303.15,292.52431641722427
28869870,288.15,303.15,292.5187871445324
28869900,288.15,303.15,292.51325973517237
28869930,288.15,303.15,292.5077342288548
28869960,288.15,303.15,292.5022106615436
28869990,288.15,303.15,292.49668906561914
28870020,288.15,303.15,292.49116947003233
28870050,288.15,303.15,292.4856519004464
28870080,288.15,303.15,292.48013637936606
28870110,288.15,303.15,292.4746229262525
28870140,288.15,303.15,292.46911155762194
28870170,288.15,303.15,292.46360228712643
28870200,288.15,303.15,292.458095125614
28870230,288.15,303.15,292.45259008116574
28870260,288.15,303.15,292.4470871591052
28870290,288.15,303.15,292.441586361977
28870320,288.15,303.15,292.4360876894864
28870350,288.15,303.15,292.43059113839377
28870380,288.15,303.15,292.42509670232647
28870410,288.15,303.15,292.4196043716033
28870440,288.15,303.15,292.4141141328711
28870470,288.15,303.15,292.40862596864395
28870500,288.15,303.15,292.4031398566808
28870530,288.15,303.15,292.3976557691226
28870560,288.15,303.15,292.3921736712708
28870590,288.15,303.15,292.38669351977296
28870620,288.15,303.15,292.3812152598911
28870650,288.15,303.15,292.37573882122916
28870680,288.15,303.15,292.3702641104444
28870710,288.15,303.15,292.36479099696965
28870740,288.15,303.15,292.3593192768926
28870770,288.15,303.15,292.3538484710564
28870800,288.15,303.15,292.3483783154289
28870830,288.15,303.15,292.3429090073265
28870860,288.15,303.15,292.33744092734395
28870890,288.15,303.15,292.3319744492387
28870920,288.15,303.15,292.32650988352157
28870950,288.15,303.15,292.32104748307205
28870980,288.15,303.15,292.3155874608479
28871010,288.15,303.15,292.31013000259406
28871040,288.15,303.15,292.3046752734809
28871070,288.15,303.15,292.29922342140645
28871100,288.15,303.15,292.29377457902694
28871130,288.15,303.15,292.28832886539607
28871160,288.15,303.15,292.2828863874408
28871190,288.15,303.15,292.2774472412874
28871220,288.15,303.15,292.27201151343064
28871250,288.15,303.15,292.26657928175433
28871280,288.15,303.15,292.2611506164244
28871310,288.15,303.15,292.2557255806756
28871340,288.15,303.15,292.250304231509
28871370,288.15,303.15,292.24488662031433
28871400,288.15,303.15,292.2394727934267
28871430,288.15,303.15,292.2340627926269
28871460,288.15,303.15,292.2286566555914
28871490,288.15,303.15,292.2232544162989
28871520,288.15,303.15,292.2178561053968
28871550,288.15,303.15,292.21246175053363
28871580,288.15,303.15,292.2070713766601
28871610,288.15,303.15,292.2016850063021
28871640,288.15,303.15,292.1963026598084
28871670,288.15,303.15,292.19092435557627
28871700,288.15,303.15,292.1855501102564
28871730,288.15,303.15,292.1801799389389
28871760,288.15,303.15,292.1748138553236
28871790,288.15,303.15,292.1694518718737
28871820,288.15,303.15,292.1640939999574
28871850,288.15,303.15,292.15874024997504
28871880,288.15,303.15,292.1533906314765
28871910,288.15,303.15,292.1480451532671
28871940,288.15,303.15,292.14270382350446
28871970,288.15,303.15,292.13736664978666
28872000,288.15,303.15,292.1320336392323
28872030,288.15,303.15,292.12670477491656
28872060,288.15,303.15,292.12138000162884
28872090,288.15,303.15,292.1160592455384
28872120,288.15,303.15,292.11074242947683
28872150,288.15,303.15,292.1054294791067
28872180,288.15,303.15,292.1001203240788
28872210,288.15,303.15,292.09481489765085
28872240,288.15,303.15,292.08951313624647
28872270,288.15,303.15,292.0842149792424
28872300,288.15,303.15,292.0789203689057
28872330,288.15,303.15,292.0736292503804
28872360,288.15,303.15,292.0683415716713
28872390,288.15,303.15,292.0630572836145
28872420,288.15,303.15,292.0577763398345
28872450,288.15,303.15,292.05249869669365
28872480,288.15,303.15,292.0472243132353
28872510,288.15,303.15,292.04195315112355
28872540,288.15,303.15,292.03668517457936
28872570,288.15,303.15,292.03142035031436
28872600,288.15,303.15,292.0261586474626
28872630,288.15,303.15,292.0209000375107
28872660,288.15,303.15,292.0156444942281
28872690,288.15,303.15,292.0103919935954
28872720,288.15,303.15,292.0051425137335
28872750,288.15,303.15,291.9998960348332
28872780,288.15,303.15,291.9946525390846
28872810,288.15,303.15,291.9894120106078
28872840,288.15,303.15,291.9841744353844
28872870,288.15,303.15,291.97893980119045
28872900,288.15,303.15,291.97370809753033
28872930,288.15,303.15,291.968479315572
28872960,288.15,303.15,291.9632534480845
28872990,288.15,303.15,291.95803048937614
28873020,288.15,303.15,291.952810435235
28873050,288.15,303.15,291.9475932828709
28873080,288.15,303.15,291.94237903085906
28873110,288.15,303.15,291.9371676790858
28873140,288.15,303.15,291.9319592286956
28873170,288.15,303.15,291.92675368204016
28873200,288.15,303.15,291.9215510426297
28873230,288.15,303.15,291.9163513150846
28873260,288.15,303.15,291.91115450509074
28873290,288.15,303.15,291.90596061935463
28873320,288.15,303.15,291.9007696655615
28873350,288.15,303.15,291.89558165233433
28873380,288.15,303.15,291.8903965891952
28873410,288.15,303.15,291.885214486527
28873440,288.15,303.15,291.880035355538
28873470,288.15,303.15,291.8748592082269
28873500,288.15,303.15,291.86968605734984
28873530,288.15,303.15,291.86451591638854
28873560,288.15,303.15,291.85934879952
28873590,288.15,303.15,291.85418472158693
28873620,288.15,303.15,291.8490236980706
28873650,288.15,303.15,291.84386574506334
28873680,288.15,303.15,291.83871087924354
28873710,288.15,303.15,291.83355911785117
28873740,288.15,303.15,291.8284104786641
28873770,288.15,303.15,291.82326497997633
28873800,288.15,303.15,291.8181226405761
28873830,288.15,303.15,291.81298347972603
28873860,288.15,303.15,291.80784751714333
28873890,288.15,303.15,291.80271477298146
28873920,288.15,303.15,291.7975852678122
28873950,288.15,303.15,291.79245902260885
28873980,288.15,303.15,291.78733605873
28874010,288.15,303.15,291.78221639790416
28874040,288.15,303.15,291.77710006221525
28874070,288.15,303.15,291.77198707408826
28874100,288.15,303.15,291.76687745627584
28874130,288.15,303.15,291.7617712318457
28874160,288.15,303.15,291.7566684241684
28874190,288.15,303.15,291.7515690569056
28874220,288.15,303.15,291.74647315399915
28874250,288.15,303.15,291.74138073966014
28874280,288.15,303.15,291.7362918383595
28874310,288.15,303.15,291.73120647481755
28874340,288.15,303.15,291.7261246739955
28874370,288.15,303.15,291.7210464610863
28874400,288.15,303.15,291.7159718615064
28874430,288.15,303.15,291.7109009008879
28874460,288.15,303.15,291.7058336050707
28874490,288.15,303.15,291.70077000009564
28874520,288.15,303.15,291.69571011219716
28874550,288.15,303.15,291.690653967797
28874580,288.15,303.15,291.6856015934978
28874610,288.15,303.15,291.6805530160771
28874640,288.15,303.15,291.67550826248174
28874670,288.15,303.15,291.6704673598223
28874700,288.15,303.15,291.6654303353678
28874730,288.15,303.15,291.66039721654084
28874760,288.15,303.15,291.65536803091305
28874790,288.15,303.15,291.6503428062002
28874820,288.15,303.15,291.64532157025803
28874850,288.15,303.15,291.6403043510783
28874880,288.15,303.15,291.6352911767847
28874910,288.15,303.15,291.6302820756289
28874940,288.15,303.15,291.62527707598747
28874970,288.15,303.15,291.62027620635797
28875000,288.15,303.15,291.6152794953561
28875030,288.15,303.15,291.6102869717121
28875060,288.15,303.15,291.6052986642683
28875090,288.15,303.15,291.6003146019759
28875120,288.15,303.15,291.59533481389246
28875150,288.15,303.15,291.5903593291792
28875180,288.15,303.15,291.58538817709854
28875210,288.15,303.15,291.5804213870119
28875240,288.15,303.15,291.57545898837714
28875270,288.15,303.15,291.5705010107468
28875300,288.15,303.15,291.5655474837656
28875330,288.15,303.15,291.5605984371689
28875360,288.15,303.15,291.5556539007805
28875390,288.15,303.15,291.5507139045111
28875420,288.15,303.15,291.5457784783564
28875450,288.15,303.15,291.5408476523955
28875480,288.15,303.15,291.5359214567894
28875510,288.15,303.15,291.5309999217797
28875540,288.15,303.15,291.5260830776868
28875570,288.15,303.15,291.5211709549086
28875600,288.15,303.15,291.5162635839195
28875630,288.15,303.15,291.51136095568637
28875660,288.15,303.15,291.5064629987935
28875690,288.15,303.15,291.5015696142945
28875720,288.15,303.15,291.49668070201085
28875750,288.15,303.15,291.49179617045354
28875780,288.15,303.15,291.48691593784895
28875810,288.15,303.15,291.4820399305513
28875840,288.15,303.15,291.47716808149283
28875870,288.15,303.15,291.4723003291747
28875900,288.15,303.15,291.46743661702885
28875930,288.15,303.15,291.46257689294237
28875960,288.15,303.15,291.45772110883973
28875990,288.15,303.15,291.4528692202927
28876020,288.15,303.15,291.448021186157
28876050,288.15,303.15,291.44317696823725
28876080,288.15,303.15,291.43833653098284
28876110,288.15,303.15,291.4334998412114
28876140,288.15,303.15,291.42866686785834
28876170,288.15,303.15,291.4238375817497
28876200,288.15,303.15,291.4190119553964
28876230,288.15,303.15,291.41418996280765
28876260,288.15,303.15,291.40937157932166
28876290,288.15,303.15,291.4045567814525
28876320,288.15,303.15,291.3997455467516
28876350,288.15,303.15,291.39493785368194
28876380,288.15,303.15,291.39013368150466
28876410,288.15,303.15,291.3853330101764
28876440,288.15,303.15,291.3805358202565
28876470,288.15,303.15,291.3757420928234
28876500,288.15,303.15,291.37095180939866
28876530,288.15,303.15,291.3661649518791
28876560,288.15,303.15,291.3613815024752
28876590,288.15,303.15,291.35660144365573
28876620,288.15,303.15,291.35182475809773
28876650,288.15,303.15,291.34705142864203
28876680,288.15,303.15,291.3422814382526
28876710,288.15,303.15,291.3375147699805
28876740,288.15,303.15,291.3327514069314
28876770,288.15,303.15,291.32799133223654
28876800,288.15,303.15,291.32323452902665
28876830,288.15,303.15,291.31848098040865
28876860,288.15,303.15,291.313730669445
28876890,288.15,303.15,291.308983579135
28876920,288.15,303.15,291.3042396923983
28876950,288.15,303.15,291.2994989920604
28876980,288.15,303.15,291.29476146083954
28877010,288.15,303.15,291.29002708133515
28877040,288.15,303.15,291.2852958360179
28877070,288.15,303.15,291.2805677072204
28877100,288.15,303.15,291.27584267712973
28877130,288.15,303.15,291.2711207277803
28877160,288.15,303.15,291.26640184104804
28877190,288.15,303.15,291.26168599864496
28877220,288.15,303.15,291.25697318211513
28877250,288.15,303.15,291.2522633728304
28877280,288.15,303.15,291.24755655198726
28877310,288.15,303.15,291.2428527006044
28877340,288.15,303.15,291.2381517995199
28877370,288.15,303.15,291.23345382939004
28877400,288.15,303.15,291.22875877068725
28877430,288.15,303.15,291.2240666036992
28877460,288.15,303.15,291.2193773085281
28877490,288.15,303.15,291.2146908650899
28877520,288.15,303.15,291.21000725311404
28877550,288.15,303.15,291.2053264521435
28877580,288.15,303.15,291.20064844153467
28877610,288.15,303.15,291.19597320045796
28877640,288.15,303.15,291.19130070789777
28877670,288.15,303.15,291.1866309426535
28877700,288.15,303.15,291.1819638833401
28877730,288.15,303.15,291.1772995083889
28877760,288.15,303.15,291.1726377960488
28877790,288.15,303.15,291.16797872438696
28877820,288.15,303.15,291.16332227129027
28877850,288.15,303.15,291.1586684144666
28877880,288.15,303.15,291.1540171314458
28877910,288.15,303.15,291.14936839958165
28877940,288.15,303.15,291.1447221960529
28877970,288.15,303.15,291.14007849786515
28878000,288.15,303.15,291.1354372818522
28878030,288.15,303.15,291.13079852467814
28878060,288.15,303.15,291.1261622028388
28878090,288.15,303.15,291.1215282926638
28878120,288.15,303.15,291.11689677031836
28878150,288.15,303.15,291.1122676118051
28878180,288.15,303.15,291.1076407929667
28878210,288.15,303.15,291.1030162894872
28878240,288.15,303.15,291.09839407689475
28878270,288.15,303.15,291.09377413056365
28878300,288.15,303.15,291.0891564257167
28878330,288.15,303.15,291.0845409374274
28878360,288.15,303.15,291.0799276406227
28878390,288.15,303.15,291.0753165100854
28878420,288.15,303.15,291.0707075204565
28878450,288.15,303.15,291.06610064623817
28878480,288.15,303.15,291.0614958617964
